language,question,option a,option b,option c,option d,correct
Python,What is the output of 2 + 2?,3,4,5,6,option b
Python,Which keyword is used to declare a variable?,var,let,const,int,option b
Python,What is the default value of an integer?,0,1,null,undefined,option a
Python,Which symbol is used for single-line comments?,//,#,/*,--,option b
Python,Which of the following is a correct way to define a function?,def function(),function(),func(),void function(),option a
Python,Which function is used to find the length of a list?,len(),length(),count(),size(),option a
Python,Which method is used to append an element to a list?,add(),append(),insert(),extend(),option b
Python,What is the correct way to create a dictionary in Python?,{},[],dict(),set(),option a
Python,How do you handle exceptions in Python?,try-catch,try-except,catch-try,throw-catch,option b
Python,Which function is used to read a file in Python?,open(),read(),file(),input(),option a
Python,Which of the following is a Python built-in data type?,string,integer,boolean,All of the above,option d
Python,Which of these are mutable data types in Python?,list,tuple,string,int,option a
Python,What does the 'break' statement do?,Breaks a loop,Exits the program,Ends a function,Ends a class,option a
Python,How do you create a class in Python?,class MyClass,def MyClass,function MyClass,class: MyClass,option a
Python,Which operator is used for exponentiation in Python?,^,**,exp(),sqrt(),option b
Python,What will be the output of print(type(5))?,int,str,float,None,option a
Python,Which of these is used to indicate the start of a code block in Python?,{},[],(),Indentation,option d
Python,Which of the following is a Python data structure?,list,array,matrix,None of the above,option a
Python,What is the default return value of a function in Python?,None,null,undefined,false,option a
Python,What is the correct way to initialize an empty list?,[],{},list(),None,option a
Python,Which of the following is not a valid Python tuple?,"(1, 2)","(1, 2, 3)","(1, 2, 3, 4)","(1, 2, 3, 3)",option c
Python,Which of the following is a valid Python string?,'hello',"""hello""","""""""hello""""""",All of the above,option d
Python,How do you define a function in Python?,function name(),def name(),func name(),create name(),option b
Python,Which of the following is used to raise an exception in Python?,throw,raise,catch,error,option b
Python,Which Python library can be used for data manipulation and analysis?,numpy,pandas,matplotlib,scipy,option b
Python,What will be the output of print(2 == 2)?,True,False,None,Error,option a
Python,What will be the output of print(2 != 2)?,True,False,None,Error,option b
Python,Which of the following is used for multi-line comments in Python?,//,#,/* */,""""""" """"""",option d
Python,Which method is used to sort a list in Python?,sort(),sorted(),list.sort(),All of the above,option d
Python,How do you define a constant in Python?,const NAME = value,CONSTANT_NAME = value,let NAME = value,None,option b
Python,What will be the output of print(3 / 2)?,1,1.5,2,2.0,option b
Python,What is the output of print(3 // 2)?,1,1.5,2,2.0,option a
Python,Which method is used to convert a string to lowercase?,lower(),tolower(),toLower(),convert(),option a
Python,Which function can be used to take user input in Python?,input(),read(),write(),scan(),option a
Python,What will be the output of print(2**3)?,8,6,3,5,option a
Python,Which of the following is the correct syntax to import a module in Python?,import module,import module(),include module,require module,option a
Python,What is the output of print(10 % 3)?,1,2,0,3,option a
Python,What is the correct syntax to define a lambda function in Python?,lambda x: x + 1,def x + 1,lambda(x): x + 1,def lambda(x): x + 1,option a
Python,Which method is used to remove an element from a list?,remove(),pop(),delete(),All of the above,option a
Python,How do you access the second element of a list in Python?,list[1],list[2],list[0],list(1),option a
Python,What is the result of '5' + '2' in Python?,7,52,Error,5 2,option b
Python,What will be the output of print(type(5.5))?,float,int,str,None,option a
Python,Which operator is used to compare values in Python?,=,,>,<,option b
Python,What does the 'continue' statement do?,Exit the loop,Skip the current iteration,Exit the program,Break the loop,option b
Python,How do you initialize a set in Python?,{},[],set(),(),option c
Python,"What does 'len([1, 2, 3])' return?",3,6,None,Error,option a
Python,Which function is used to round a number in Python?,round(),ceil(),floor(),roundoff(),option a
Python,What will be the output of print(bool(0))?,True,False,None,Error,option b
Python,How do you declare a global variable in Python?,global var,declare var,let var,None,option a
Java,Which of the following is used to declare a variable?,var,let,const,int,option d
Java,Which method is used to convert a string to lowercase?,toLower(),lowerCase(),toLowerCase(),lower(),option c
Java,Which of these is a primitive data type?,String,boolean,Array,Object,option b
Java,Which of the following defines an array in Java?,int arr[],Array arr,int[] arr,arr[] int,option c
Java,Which of the following is the correct way to create a class in Java?,class MyClass,class MyClass(),function MyClass,def MyClass,option a
Java,Which of the following is used to import a package in Java?,include,import,using,package,option b
Java,Which of these is not a valid keyword in Java?,int,float,real,boolean,option c
Java,Which method is used to compare two strings in Java?,equals(),compare(),compareTo(),,option a
Java,What is the default value of a boolean in Java?,true,false,0,null,option b
Java,Which of the following statements is true about an interface in Java?,An interface can have a constructor,An interface can be instantiated,An interface can have default methods,None of the above,option c
Java,Which of the following is used to declare a constant in Java?,final,constant,static,immutable,option a
Java,Which method is used to get the length of an array in Java?,length(),size(),length,count(),option c
Java,What is the result of 10 % 3 in Java?,1,2,3,0,option a
Java,Which of the following is used to handle exceptions in Java?,try-catch,throw-catch,try-except,catch-try,option a
Java,Which of the following is not a valid type of loop in Java?,for,while,do-while,foreach,option d
Java,Which method is used to parse an integer from a string?,parseInt(),parseInteger(),toInt(),int(),option a
Java,Which of the following is the correct way to define a constructor?,class MyClass(),constructor MyClass(),MyClass(),def MyClass(),option c
Java,Which method is used to add an element to an ArrayList?,add(),append(),insert(),push(),option a
Java,Which operator is used to compare two values in Java?,=,,>,!=,option b
Java,What is the output of System.out.println(3 + 2 + '5')?,52,35,Error,5,option b
Java,What is the correct way to create a thread in Java?,Thread thread = new Thread();,Thread thread = new Runnable();,Thread thread = new Thread(() -> { });,None of the above,option a
Java,Which of the following methods is used to start a thread in Java?,start(),run(),execute(),begin(),option a
Java,Which of the following is a valid method signature in Java?,void methodName(int a),methodName int(a),methodName(int a) void,int void methodName(),option a
Java,Which of the following statements is true about the 'this' keyword in Java?,It refers to the current class instance,It refers to the superclass,It refers to the method,It refers to the object passed to the method,option a
Java,Which access modifier makes a method accessible only within its class?,public,private,protected,default,option b
Java,Which method is used to find the index of an element in a list in Java?,indexOf(),findIndex(),search(),getIndex(),option a
Java,Which method is used to check if a string is empty in Java?,isEmpty(),isBlank(),length() == 0,None of the above,option a
Java,What is the result of 4 / 2 in Java?,2,0,2.0,4,option a
Java,Which of the following collections is unordered in Java?,List,Set,Map,Queue,option b
Java,What does the 'continue' statement do in a loop in Java?,Ends the loop,Skips the current iteration,Pauses the loop,Exits the method,option b
Java,Which of the following classes is used to read user input in Java?,Scanner,Reader,InputStream,Console,option a
Java,Which of the following methods is used to remove an element from a List in Java?,remove(),delete(),pop(),erase(),option a
Java,Which method is used to generate random numbers in Java?,Math.random(),Random.generate(),rand(),random(),option a
Java,Which of the following is used to write output in Java?,System.out.print(),System.out.write(),System.print(),System.out.println(),option a
Java,Which of the following is used to define a constant in Java?,final,constant,static,immutable,option a
Java,Which of the following will throw a 'NullPointerException' in Java?,Calling method on null object,Array index out of bounds,Division by zero,File not found,option a
Java,Which of the following methods is used to compare two strings lexicographically in Java?,compareTo(),equals(),compare(),lexicalCompare(),option a
Java,Which keyword is used to define a method that does not return a value in Java?,void,empty,null,None,option a
Java,Which of the following can be used to create a new object in Java?,new,create,instantiate,object,option a
